epoch,accuracy,loss,lr,val_accuracy,val_loss
29,0.38239189982414246,3.222688913345337,1e-05,0.5065051317214966,2.337381601333618
30,0.3937825858592987,2.971470355987549,1e-05,0.5099563002586365,2.3168280124664307
31,0.4004412591457367,2.846548557281494,1e-05,0.5125632882118225,2.306068181991577
32,0.4051671326160431,2.7534499168395996,1e-05,0.5153689384460449,2.2861440181732178
33,0.41044920682907104,2.657546281814575,1e-05,0.5147978663444519,2.283217430114746
34,0.41323620080947876,2.5702552795410156,1e-05,0.5156420469284058,2.2721810340881348
35,0.4168804883956909,2.5233004093170166,1e-05,0.520657479763031,2.245602607727051
36,0.4206630289554596,2.4297268390655518,1e-05,0.5202850103378296,2.2445993423461914
37,0.42259272933006287,2.4099833965301514,1e-05,0.5237362384796143,2.2237744331359863
38,0.42592358589172363,2.3614933490753174,1e-05,0.5184725522994995,2.249669075012207
39,0.4269867539405823,2.322252035140991,1e-05,0.5282798409461975,2.198645830154419
40,0.43024080991744995,2.270364761352539,1e-05,0.5210050940513611,2.244229555130005
41,0.4316757917404175,2.2302000522613525,1e-05,0.5231651663780212,2.2188408374786377
42,0.43409404158592224,2.189833879470825,1e-05,0.5240837931632996,2.2136404514312744
43,0.43513572216033936,2.157235622406006,1e-05,0.5286523103713989,2.194847583770752
44,0.43616509437561035,2.1146795749664307,1e-05,0.5257225036621094,2.2007884979248047
45,0.43709611892700195,2.1027135848999023,1e-05,0.5277832746505737,2.194330930709839
46,0.437907338142395,2.0645973682403564,1e-05,0.527063250541687,2.202219247817993
47,0.44151782989501953,2.047243118286133,1e-05,0.532401442527771,2.173591136932373
